Species,Native.forest,Plantations
Ooperipatellus decoratus,13,15
Ooperipatellus cryptus,7,9
Stenacapha hamiltoni,253,197
Stenacapha cf. ducani,149,197
Roblinella gadensis,52,25
Helicarion cuvieri,51,11
Victaphanta lampra,26,20
Tasmaphena sinclairi,16,22
Cystopelta bicolor,12,20
Pernagera kingstonensis,8,21
Caryodes dufresnii,18,9
Oreomava johnstoni,25,2
Cystopelta petterdi,11,13
Trocholaoma parvissimia,13,3
Thryasona diemenensis,10,3
Paralaoma caputspinulae,9,3
Stenacapha cf. savesi,9,0
Victaphanta milligani,8,0
Prolesophanta nelsonensis,6,0
Mulathena fordei,2,3
Tasmaphena lamproides,4,0
Dentherona dispar,3,0
Elsothera limula,3,0
Discocharopa mimosa,2,0
Pedicamista sp. ‘Chisholm’,2,0
Allocharopa legrandi,0,1
Planilaoma luckmanii,1,0
Trocholaoma cf. spiceri,1,0
Prolesophanta dyeri,1,0
Lissodesmus perporosus,270,427
"Genus C, sp. 1",93,101
Asphalidesmus leae,75,47
"Genus A, sp. 1",38,72
Siphonotid ‘HetLin’,25,70
Lissodesmus sp. NW1,22,27
Gasterogramma psi,13,19
Somethus sp. 2,19,13
Reginaterreuma tarkinensis,11,9
"Group S, sp. 14",2,14
Australeuma jeekeli,6,10
"Genus D, sp. 2",8,8
Nesiothrix sp. ‘castra’,9,3
"Group S, sp. 3",11,1
Siphonotid ‘SipIns’,5,5
"Genus A, sp. 5",2,6
Gasterogramma sp. 7,5,2
Tasmanodesmus hardyi,6,1
"Group T, sp. 6",6,0
Tasmaniosoma sp. 2,1,4
Somethus sp. 1,4,1
Gasterogramma sp. 3,5,0
"Genus C, sp. 5",5,0
"Group S, sp. 6",5,0
Peterjohnsia titan,1,3
Siphonotus sp. NW1,2,2
"Genus E, sp. 1",4,0
Tasmaniosoma sp. 1,1,2
Neocambrisomacachinnus,3,0
Australeuma simile,0,2
Lissodesmus sp. NW6,1,1
"Group S, sp. 12",2,0
"Genus F, sp. 4",0,1
"Dalodesmid genus 2, sp. 4",1,0
Tasmaniosoma sp. 14,1,0
Siphonotid ‘AcuMes’,1,0
Gasterogramma spp.,189,197
Somethus spp.,133,64
Tasmaniosoma spp.,45,29
"Group E, F, S or T",3,5
Immature Polydesmida,120,107
Rhytisternus cyathoderus,29,25
Lestignathus cursor,25,9
Prosopogmus chalybeipennis,9,24
Promecoderus tasmanicus,14,18
Percosoma sulcipenne,22,8
Promecoderus viridiaeneus,15,12
Pseudoceneus sollicitus,7,8
Simodontus australis,6,4
Theprisa sp.,7,1
Simodontus sexfoveatus,1,6
Chylnus ater,3,1
Mecyclothorax ambiguus,0,3
Pterocyrtus sp.,1,1
Simodontus sp. (cf. sexfoveatus),1,1
Theprisa convexa,1,1
Notonomus chalybaeus,0,1
Arion intermedius,28,124
Deroceras reticulatum,10,88
Oxychilus alliarius,0,75
Lehmannia nyctelia,2,29
Limax maximus,1,10
Oxychilus cellarius,0,2
Milax gagates,0,1
