Species,Serpentine,Nonserpentine
Aphaenogaster occidentalis,3,0
Camponotus sp. nr. Vicinus,33,0
Camponotus semitestaceus,57,102
Crematogaster coarctata,28,49
Cyphomyrmex wheeleri,0,10
Formica zerophila,9,0
Formica moki,70,103
Liometopum luctuosum,4,0
Liometopum occidentale,66,53
Messor andrei,487,936
Neivamyrmex nigrescens,5,32
Pheidole californica,1066,782
Prenolepis impairs,34,42
Solenopsis molesta,2,13
Solenopsis xyloni,494,457
Stenamma californicum,0,5
Stenamma punctatoventre,0,2
Tapinoma sessile,19,37
Temnothorax andrei,2,2
Temnothorax nevadensis,77,68
