Species,eelgrass,mud
Asabellides oculatus,47,0
Caputella caputata,29,341
CauIlenella kullanensis,0,1
Cistenides gouldii,0,5
Clymenella tortquata,410,492
Eteone flava,0,6
Eteone heteropoda,122,49
Eulaba viridis,5,0
Exogone dispar,48,4
Fabiricia sabella,0,4
Harmothoe extenuata,251,2
Harmothoe imbricata,1,2
Hediste diversicolor,86,179
Heteromastus filiformis,10,6
Leitoscoloplos sp.,190,4762
Lumbrineris tenuis,158,201
Micronephthys minuta,58,15
Nephtys caeca,102,84
Nereidae (juv.),61,39
Nereis grayi,0,79
Paraonis fulgens,5,0
Parapionosyllis longicurata,7,10
Pherusa affinis,14,0
Pholoe minuta,17,0
Phyllodoce arenae,23,5
Phyllodoce maculata,38,5
Polydora ligni,101,451
Polydora quadrilobata,905,512
Praxillella gracilis,5,9
Pygospia elegans,9,1268
Spio filicornis,3,12
Spiophanes bombyx,654,53
Streblospio benedicti,901,1141
Tharyx sp,5,21
Tharyx acutus,0,114
Tharyx dorsobranchialis,0,1
