Species,Unplanned.rice.cropping.village,Non.irrigated.village
Anopheles coustani ,248,472
Anopheles funestus ,20,398
Anopheles arabiensis ,1367,2846
Anopheles maculipalpis ,46,501
Anopheles moucheti ,1,0
Anopheles pharoensis ,23,20
Anopheles pretoriensis ,4,66
Anopheles rufipes ,7,36
Aedes aegypti ,1,11
Aedes africanus ,0,7
Aedes circumluteolus ,2,0
Aedes. cumminsi ,70,32
Aedes haworth ,1,0
Aedes longipalpis ,2,0
Aedes taylori ,49,44
Aedes vittatus ,0,1
Aedes woodi ,0,16
Culex annulioris ,391,262
Culex poicilipes ,144,45
Culex quinquefasciatus ,3629,2920
Culex  tigripes ,23,4
Culex spp* ,35,5
Coquilletidia fuscopennata ,9,1
Coquilletidia maculipennis ,16,0
Mansonia africana ,18,12
