Species,Conventional,Organic
Pterostichus melanarius (llliger),3403,9386
Agonum dorsale (Pontoppidan),1573,979
Pterostichus madidus (Fabricius),157,2020
Pterostichus cupreus (Linnaeus),162,963
Nebria brevicollis (Fabricius),141,718
Trechus quadristriatus (Schrank),318,652
Harpalus rufipes (Degeer),71,345
Pterostichus niger (Schaller),4,202
Bembidion lampros (Herbst),94,93
Loricera pilicornis (Fabricius),109,74
Calathus fuscipes (Goeze),69,83
Harpalus affinis (Schrank),11,93
Pterostichus strenuus (Panzer),65,13
Notiophilus bigattatus (Fabricius),20,47
Bembidion obtusum Serville,14,22
Bembidion lunulatum (Fourcroy),8,20
Bembidion guttula (Fabricius),16,11
Amara similata (Gyllenhall),10,13
Agonum muelleri (Herbst),5,15
Bembidion tetracolum Say,5,10
Calathus piceus (Marsham),14,0
Demetrias atricapillus (Linnaeus),10,7
Abax parallelepipedus (Piller & Mitterpacher),5,1
Amara plebeja (Gyllenhall),3,3
Carabus violaceous Linnaeus,5,1
Synuchus nivalis (llliger),6,0
Amara aenea (Degeer),2,2
Bembidion quadrimaculatum (Linnaeus),3,2
Amara familiaris (Duftschmid),2,2
Pterostichus nigrita (Paykull),3,1
Amara lunicollis Schiodte,2,1
Clivina fossor (Linnaeus),1,2
Harpalus rufibarbis (Fabricius),3,0
Pterostichus macer (Marsham),0,3
Calathus cinctus Motschulsky,2,0
Stomis pumicatus (Panzer),2,1
Agonum obscurum (Herbst),1,0
Amara aulica (Panzer),1,0
Amara bifrons (Gyllenhall),0,1
Amara eurynota (Panzer),0,1
Amara ovata (Fabricius),1,0
Asaphidion flavipes (Linnaeus),1,0
Laemostenus terricola (Herbst),0,1
Pterostichus longicollis (Duftschmid),0,1
Pterostichus vernalis (Panzer),0,1
